"gsm","tissue","severity","HSF2","NET_core","NET_ext"
"GSM358112","HCC",3,5.582925244,0.268469799874022,0.470328694604444
"GSM358113","cirrhosisHCC",2,5.286984816,-1.12163624595746,0.0801519888795535
"GSM358114","HCC",3,4.870949299,0.962279227732314,0.43060950604223
"GSM358115","HCC",3,5.279391632,-0.959300066636454,-0.550189611212293
"GSM358116","cirrhosisHCC",2,5.48638575,-0.824808995639226,-0.249659546978545
"GSM358117","cirrhosisHCC",2,5.609196979,-0.326689829689912,-0.147502122545492
"GSM358118","HCC",3,5.042171093,-0.129160421510955,-0.0179500542858414
"GSM358119","cirrhosis",1,5.263546506,-0.552762391523201,0.134816231365837
"GSM358120","HCC",3,5.034745575,0.151598807060494,-0.111944104481288
"GSM358121","cirrhosisHCC",2,5.303381557,0.639745475374085,0.457789557458066
"GSM358122","HCC",3,5.058590995,1.20614516249473,0.410212330891521
"GSM358123","cirrhosis",1,5.85100562,-0.195432811275412,0.220534907406835
"GSM358124","HCC",3,4.841752603,1.18344693882434,0.752365296480346
"GSM358125","HCC",3,5.20471775,0.147426870587682,0.0022492136342727
"GSM358126","cirrhosisHCC",2,5.374444713,1.03511083840721,0.147146538139327
